%2016-05-17-09:48:41 in-2004 6400 edges will be inserted into DANF in bulks of 640. The time measured is the time to insert 640 edges.; h is set to 8 and log2m is 4;
%BulkSize DanfEPS DanfGraphMemory DanfCounterMemory DanfVcMemory DanfMsbfsMemory TrivialEPS TrivialMemory ElapsedTime nrArcs nrNodes
640 60.201298 0.0072454438 0.089851886 0.010475526 0.19481112 3.406629 0.02012945 198502 640 1382908
1280 77.2978 0.0077156946 0.089851886 0.010475526 0.3257495 3.582925 0.020609893 562644 1920 1382908
1920 88.94241 0.008423053 0.089851886 0.010475526 0.45970094 3.3981068 0.021335877 1178231 3840 1382908
2560 104.00923 0.009365998 0.089851886 0.010475526 0.60132873 3.1835854 0.022304662 2079185 6400 1382908
3200 118.77807 0.010544561 0.089851886 0.010475526 0.7466983 3.0587265 0.023516245 3229285 9600 1382908
3840 131.76729 0.011957556 0.089851886 0.010475526 0.8918152 2.9118 0.024972722 4730489 13440 1382908
4480 142.50043 0.013603233 0.089851886 0.010475526 1.0410764 2.7646732 0.026668146 6623020 17920 1382908
5120 155.03354 0.01547917 0.089851886 0.010475526 1.1958292 2.6039512 0.028604865 9015174 23040 1382908
5760 168.90901 0.01976224 0.089851886 0.010475526 1.3535259 3.013382 0.032639883 9749239 28800 1382908
6400 181.50317 0.02211012 0.089851886 0.010475526 1.5047367 3.3614264 0.035053566 10689944 35200 1382908
