#2016-04-08-11:37:03 it-2004; 1150725436 edges will be deleted from the dvc in bulks of 10000000. The time measured is the time to delete 10000000 edges.
#Modifications DPS HeapSize ElapsedTime nrArcs nrNodes
10.0 2272727.2 1.9296781 4.4 1150725436 41291594
20.0 2869440.5 1.978402 7.885 1150725436 41291594
30.0 3465003.5 1.5821918 10.771 1150725436 41291594
40.0 4361099.0 1.8753964 13.064 1150725436 41291594
50.0 5995204.0 1.6007787 14.732 1150725436 41291594
60.0 1.1086474E7 1.5766668 15.634 1150725436 41291594
70.0 4387889.5 1.5757334 17.913 1150725436 41291594
80.0 4672897.0 1.8682792 20.053 1150725436 41291594
90.0 3506311.2 1.7829404 22.905 1150725436 41291594
100.0 3524850.2 1.7034506 25.742 1150725436 41291594
110.0 3444712.2 1.8585856 28.645 1150725436 41291594
120.0 4870920.5 1.8053929 30.698 1150725436 41291594
130.0 3167564.0 1.6686336 33.855 1150725436 41291594
140.0 3832886.2 1.8376223 36.464 1150725436 41291594
150.0 3838771.5 1.8119013 39.069 1150725436 41291594
160.0 3629764.0 1.494029 41.824 1150725436 41291594
170.0 3416467.2 1.660713 44.751 1150725436 41291594
180.0 5458515.0 1.6587125 46.583 1150725436 41291594
190.0 3473428.2 1.9570898 49.462 1150725436 41291594
200.0 3944773.0 1.6786135 51.997 1150725436 41291594
210.0 3449465.5 1.9259198 54.896 1150725436 41291594
220.0 3414134.8 1.9526417 57.825 1150725436 41291594
230.0 4585052.5 1.5803142 60.006 1150725436 41291594
240.0 3500174.8 1.9520127 62.863 1150725436 41291594
250.0 4020908.8 1.5847641 65.35 1150725436 41291594
260.0 3711952.5 1.7861317 68.044 1150725436 41291594
270.0 3611412.0 1.6540167 70.813 1150725436 41291594
280.0 4426737.5 1.9335792 73.072 1150725436 41291594
290.0 1.0799136E7 1.6355795 73.998 1150725436 41291594
300.0 5959475.5 1.7681829 75.676 1150725436 41291594
310.0 4269855.0 1.9473366 78.018 1150725436 41291594
320.0 3992015.8 1.7516409 80.523 1150725436 41291594
330.0 4208754.5 1.7070161 82.899 1150725436 41291594
