%2016-05-31-14:35:57 it-2004; 1150725436 edges will be deleted from the dvc in bulks of 100000000. The time measured is the time to delete 100000000 edges.
%Modifications DPS HeapSize ElapsedTime nrArcs nrNodes
100.0 4297563.5 0.35039142 23.269 0 41291594
200.0 4059759.8 0.35039142 47.902 0 41291594
300.0 4345559.0 0.35039142 70.915 0 41291594
400.0 4587156.0 0.35039142 92.716 0 41291594
500.0 5153842.0 0.35039142 112.12 0 41291594
600.0 4241781.5 0.35039142 135.696 0 41291594
700.0 8875477.0 0.35039142 146.963 0 41291594
800.0 6580679.0 0.35039142 162.16 0 41291594
900.0 4247366.5 0.35039142 185.705 0 41291594
1000.0 4363001.5 0.35039142 208.626 0 41291594
1100.0 4619578.0 0.35039142 230.273 0 41291594
