#2016-04-08-11:29:13 it-2004; All edges in it-2004 is inserted into an empty DVC. The time measured it the time to insert 10000000 edges.
#Modifications DPS HeapSize ElapsedTime nrArcs nrNodes
10.0 1.5873016E7 0.37720156 0.63 0 0
20.0 2.5E7 0.7861535 1.03 0 0
30.0 2.6666666E7 1.1600938 1.405 0 0
40.0 3.0864198E7 1.0351685 1.729 0 0
50.0 3.5335688E7 0.85272396 2.012 0 0
60.0 4.587156E7 1.5888284 2.23 0 0
70.0 3.2894738E7 1.1575786 2.534 0 0
80.0 3.2467532E7 0.70037484 2.842 0 0
90.0 2.9850746E7 1.5630733 3.177 0 0
100.0 2.9761906E7 1.1318367 3.513 0 0
110.0 2.8089888E7 0.83913237 3.869 0 0
120.0 3.448276E7 1.6512202 4.159 0 0
130.0 2.7100272E7 1.2451905 4.528 0 0
140.0 2.9585798E7 0.8395262 4.866 0 0
150.0 2.9585798E7 0.40781152 5.204 0 0
160.0 3.0120484E7 1.2713957 5.536 0 0
170.0 2.8409092E7 0.8655349 5.888 0 0
180.0 3.6231884E7 1.6538379 6.164 0 0
190.0 2.5510204E7 1.3720094 6.556 0 0
200.0 2.6246718E7 0.97382355 6.937 0 0
210.0 2.8818444E7 0.5663583 7.284 0 0
220.0 2.770083E7 1.4322907 7.645 0 0
230.0 3.3112584E7 0.97493136 7.947 0 0
240.0 2.8901736E7 0.5666519 8.293 0 0
250.0 3.0674846E7 1.4087299 8.619 0 0
260.0 2.9585798E7 1.0013486 8.957 0 0
270.0 2.9325514E7 0.5668865 9.298 0 0
280.0 3.3557048E7 1.3846983 9.596 0 0
290.0 4.7619048E7 0.87343454 9.806 0 0
300.0 3.7453184E7 1.6653978 10.073 0 0
310.0 3.1446542E7 1.2317327 10.391 0 0
320.0 3.0487804E7 0.79816055 10.719 0 0
330.0 3.1847132E7 1.6186212 11.033 0 0
340.0 3.0487804E7 1.1830106 11.361 0 0
350.0 3.267974E7 0.72179985 11.667 0 0
360.0 3.2894738E7 1.5436535 11.971 0 0
370.0 3.0487804E7 1.1071423 12.299 0 0
380.0 3.125E7 0.6707872 12.619 0 0
390.0 4.4444444E7 1.4423344 12.844 0 0
400.0 2.4813896E7 1.4035448 13.247 0 0
410.0 2.5E7 1.2274572 13.647 0 0
420.0 3.1347962E7 0.76636624 13.966 0 0
430.0 4.9504948E7 1.5109104 14.168 0 0
440.0 3.5971224E7 1.023945 14.446 0 0
450.0 3.095975E7 1.8731635 14.769 0 0
460.0 3.5842292E7 1.3847793 15.048 0 0
470.0 4.2194092E7 0.8700397 15.285 0 0
480.0 3.2467532E7 1.6955166 15.593 0 0
490.0 2.9498526E7 1.2572668 15.932 0 0
500.0 2.8735634E7 0.8186799 16.28 0 0
510.0 3.0674846E7 1.6707356 16.606 0 0
520.0 3.021148E7 1.206053 16.937 0 0
530.0 2.9498526E7 0.741266 17.276 0 0
540.0 3.125E7 1.5941609 17.596 0 0
550.0 2.915452E7 1.1548501 17.939 0 0
560.0 3.1645568E7 0.689628 18.255 0 0
570.0 2.8818444E7 1.5432497 18.602 0 0
580.0 3.003003E7 1.103516 18.935 0 0
590.0 3.1847132E7 1.9312905 19.249 0 0
600.0 3.2894738E7 1.4662856 19.553 0 0
610.0 4.032258E7 0.94853055 19.801 0 0
620.0 4.2016804E7 1.7251759 20.039 0 0
630.0 4.0E7 1.2078263 20.289 0 0
640.0 4.0E7 0.68966866 20.539 0 0
650.0 4.0983608E7 1.4669085 20.783 0 0
660.0 4.032258E7 0.9487494 21.031 0 0
670.0 4.0650404E7 1.7259916 21.277 0 0
680.0 3.9525692E7 1.207831 21.53 0 0
690.0 4.0E7 0.6896883 21.78 0 0
700.0 4.0816324E7 1.4675187 22.025 0 0
710.0 3.984064E7 0.9489654 22.276 0 0
720.0 4.0816324E7 1.7267964 22.521 0 0
730.0 4.0E7 1.2082427 22.771 0 0
740.0 4.0816324E7 0.6896884 23.016 0 0
750.0 4.0816324E7 1.4415925 23.261 0 0
760.0 3.9215688E7 0.92303795 23.516 0 0
770.0 3.7037036E7 1.7267977 23.786 0 0
780.0 3.1446542E7 1.2600985 24.104 0 0
790.0 3.1446542E7 0.793497 24.422 0 0
800.0 3.3670036E7 1.6238095 24.719 0 0
810.0 2.8818444E7 1.182706 25.066 0 0
820.0 3.436426E7 0.68970793 25.357 0 0
830.0 3.2786884E7 1.5200205 25.662 0 0
840.0 3.030303E7 1.0529697 25.992 0 0
850.0 3.1545742E7 1.8832822 26.309 0 0
860.0 2.9585798E7 1.4421481 26.647 0 0
870.0 3.0120484E7 1.0010751 26.979 0 0
880.0 2.9850746E7 1.8313878 27.314 0 0
890.0 3.1948882E7 1.3646007 27.627 0 0
900.0 3.021148E7 0.923331 27.958 0 0
910.0 3.2258064E7 1.7539562 28.268 0 0
920.0 2.857143E7 1.3129307 28.618 0 0
930.0 3.1948882E7 0.8195615 28.931 0 0
940.0 2.2271714E7 1.2156887 29.38 0 0
950.0 1.9607844E7 0.86645156 29.89 0 0
960.0 2.9761906E7 1.7232972 30.226 0 0
970.0 3.1746032E7 1.2560421 30.541 0 0
980.0 2.857143E7 0.814683 30.891 0 0
990.0 3.0674846E7 1.6455966 31.217 0 0
1000.0 3.2154342E7 1.1782814 31.528 0 0
1010.0 3.0395138E7 2.0092034 31.857 0 0
1020.0 2.967359E7 1.5677812 32.194 0 0
1030.0 3.2154342E7 1.1003859 32.505 0 0
1040.0 3.030303E7 1.9313169 32.835 0 0
1050.0 3.1847132E7 1.4639201 33.149 0 0
1060.0 2.9850746E7 0.99652046 33.484 0 0
1070.0 3.2258064E7 1.8274553 33.794 0 0
1080.0 3.003003E7 1.3600551 34.127 0 0
1090.0 3.448276E7 0.86668706 34.417 0 0
1100.0 3.30033E7 1.6976234 34.72 0 0
1110.0 4.1152264E7 1.1523217 34.963 0 0
1120.0 3.436426E7 1.9832586 35.254 0 0
1130.0 3.0487804E7 1.5158567 35.582 0 0
1140.0 3.1645568E7 1.0224879 35.898 0 0
1150.0 3.2894738E7 1.853425 36.202 0 0
1150.7253 4.16666656E8 1.9053586 36.226 0 0
