%2016-05-31-14:21:59 it-2004; All edges in it-2004 is inserted into an empty DVC. The time measured it the time to insert 100000000 edges.
%Modifications DPS HeapSize ElapsedTime nrArcs nrNodes
100.0 2.3507286E7 0.036930703 4.254 0 0
200.0 2.5188916E7 0.07893735 8.226 0 0
300.0 2.6434048E7 0.10628423 12.01 0 0
400.0 2.6308866E7 0.1437387 15.811 0 0
500.0 2.6961444E7 0.1590798 19.521 0 0
600.0 2.327205E7 0.19503659 23.818 0 0
700.0 3.1210986E7 0.21604788 27.023 0 0
800.0 3.003003E7 0.21604788 30.354 0 0
900.0 2.5195262E7 0.26529455 34.323 0 0
1000.0 2.5799794E7 0.29407173 38.2 0 0
1100.0 2.5182574E7 0.32602978 42.171 0 0
