#2016-04-08-11:51:50 in-2004 100000 edges will be inserted into DANF in bulks of 10000. The time measured is the time to insert 10000 edges.; h is set to 3 and log2m is 7;
#Modifications DPS HeapSize ElapsedTime nrArcs nrNodes
0.01 1122.4603 3.2913465 8.909 16927053 1396834
0.02 1351.5339 3.3597448 16.308 16937053 1410881
0.03 1282.2157 5.582677 24.107 16947053 1424950
0.04 1177.995 7.318317 32.596 16957053 1439247
0.05 762.8929 1.8677208 45.704 16967053 1453618
0.06 1403.3119 3.694869 52.83 16977053 1468250
0.07 1250.7817 5.509245 60.825 16987053 1482940
0.08 1378.3597 3.2698133 68.08 16997053 1497771
0.09 1396.0631 5.7717876 75.243 17007053 1512821
0.1 1251.8778 2.177527 83.231 17017053 1527930
