%2016-05-19-11:08:29; Comparison between SimulatedGraph and TraverseGraph; 5000 are randomly generated and inserted into both. The time measured is the time to insert the edges and perform a complete edge scan.
%nrAddedEdges simulatedAddTimeMs simulatedIterateTimeMs simulatedMemoryGB traverseAddTimeMs traverseIterateTimeMs traverseMemoryGB
300000 324 3961 0.055923194 2163 1174 0.05482567
600000 661 14553 0.10764935 6417 2835 0.06487354
900000 1034 32003 0.15573338 12267 4849 0.06710871
1200000 1426 59494 0.20049572 21786 6779 0.08496889
1500000 1819 88803 0.24209242 32622 9569 0.08720406
1800000 2224 123257 0.28087583 44233 12720 0.089439236
2100000 2636 167450 0.31762984 57667 16085 0.09167441
2400000 3053 215742 0.35167193 73188 20256 0.12515959
2700000 3453 262470 0.38336203 99767 24616 0.12739477
3000000 3870 312396 0.41332096 118848 28997 0.12962994
