#07-04-2016 in-2004; 1000 random edges inserted per iteration; Time measured to insert edges and to perform a complete edge scan. 
#Iteration UnionedTimems StoredTimedms
1 968 2039
2 914 1735
3 1041 1774
4 1239 1731
5 1385 1697
6 1603 1687
7 1771 1691
8 1969 1697
9 2267 1702
10 2501 1716
11 2786 1701
12 3086 1777
13 3587 1748
14 3660 1747
15 4080 1945
16 4604 1772
17 4846 1845
18 4976 1715
19 5285 1896
20 5982 1712
21 6085 1818
22 6710 1817
23 6791 1705
24 7224 1856
25 7916 1752
26 7899 1821
27 8551 1930
28 8657 1765
29 9463 1780
30 9598 1766
31 9699 1713
32 9915 1795
33 10617 1969
34 11100 1933
35 11506 1775
36 11605 1887
37 12213 1812
38 12913 1755
39 12777 1747
40 13633 1745
41 14368 1871
42 14978 1942
43 14431 1777
44 14980 1746
45 15650 1887
46 16673 1798
47 16281 1780
48 16208 1725
49 16936 1797
50 17233 1749
