%2016-05-30-10:43:58 in-2004; 5000random edges inserted per iteration; The time measured is the time insert edges into the graph. 
%Insertions bulkSize ratioBeforeSometimesSave nrNodes AlwaysUnionedTimems AlwaysUnionHeapSizeGB SometimesUnionedTimems SometimesUnionHeapSizeGB StoredTimedms StoredHeapSizeGB
10 5000 8.0 9999901 819 0.010788828 1241 0.010884926 3422 0.0060706437
20 5000 8.0 9999946 834 0.020406015 1236 0.020526484 3424 0.006119311
30 5000 8.0 9999946 839 0.029986665 1251 0.03010635 3424 0.006168455
40 5000 8.0 9999951 852 0.039492577 1464 0.0139141455 3422 0.006217055
50 5000 8.0 9999951 861 0.048961885 1248 0.023545317 3431 0.0062669516
60 5000 8.0 9999951 872 0.058393 1464 0.0072786435 3455 0.006314993
70 5000 8.0 9999959 895 0.06777429 1237 0.01694008 3445 0.0061735734
80 5000 8.0 9999959 909 0.07708521 1267 0.026537083 3511 0.006198317
90 5000 8.0 9999980 921 0.08625171 1478 0.009119682 3501 0.006223537
100 5000 8.0 9999980 953 0.09550614 1264 0.018673554 3565 0.006248407
110 5000 8.0 9999980 949 0.1046312 1279 0.028196968 3535 0.006271161
120 5000 8.0 9999980 1002 0.1137594 1544 0.012084432 3681 0.00629618
130 5000 8.0 9999989 1002 0.12288175 1293 0.0217193 3643 0.0063207
140 5000 8.0 9999989 1020 0.13193312 1294 0.031282 3602 0.006344706
150 5000 8.0 9999989 1026 0.1409536 1547 0.014079377 3683 0.0063686967
160 5000 8.0 9999989 1031 0.1499162 1295 0.02367866 3644 0.0063931867
170 5000 8.0 9999989 1057 0.15849946 1551 0.006416343 3671 0.0064176545
180 5000 8.0 9999989 1057 0.16719756 1336 0.016086921 3737 0.0064414665
190 5000 8.0 9999989 1091 0.17599875 1332 0.025716558 3712 0.0064665675
200 5000 8.0 9999989 1120 0.18457672 1617 0.008420527 3821 0.0064910203
